Cust_id,campaign,pdays,previous,poutcome
ABC86,2,-1,0,unknown
ABC87,1,-1,0,unknown
ABC88,1,-1,0,unknown
ABC89,2,-1,0,unknown
ABC90,2,-1,0,unknown
ABC91,1,-1,0,unknown
ABC92,2,-1,0,unknown
ABC93,1,-1,0,unknown
ABC94,1,-1,0,unknown
ABC95,1,-1,0,unknown
ABC96,1,-1,0,unknown
ABC97,1,-1,0,unknown
ABC98,1,-1,0,unknown
ABC99,1,-1,0,unknown
ABC100,1,-1,0,unknown
ABC101,1,-1,0,unknown
ABC102,1,-1,0,unknown
ABC103,1,-1,0,unknown
ABC104,3,-1,0,unknown
ABC105,1,-1,0,unknown
ABC106,1,-1,0,unknown
ABC107,1,-1,0,unknown
ABC108,1,-1,0,unknown
ABC109,1,-1,0,unknown
ABC110,2,-1,0,unknown
ABC111,1,-1,0,unknown
ABC112,1,-1,0,unknown
ABC113,2,-1,0,unknown
ABC114,1,-1,0,unknown
ABC115,1,-1,0,unknown
ABC116,2,-1,0,unknown
ABC117,1,-1,0,unknown
ABC118,1,-1,0,unknown
ABC119,1,-1,0,unknown
ABC120,1,-1,0,unknown
ABC121,1,-1,0,unknown
ABC122,1,-1,0,unknown
ABC123,3,-1,0,unknown
ABC124,2,-1,0,unknown
ABC125,1,-1,0,unknown
ABC126,2,-1,0,unknown
ABC127,1,-1,0,unknown
ABC128,1,-1,0,unknown
ABC129,1,-1,0,unknown
ABC130,1,-1,0,unknown
ABC131,1,-1,0,unknown
ABC132,1,-1,0,unknown
ABC133,1,-1,0,unknown
ABC134,2,-1,0,unknown
ABC135,2,-1,0,unknown
ABC136,1,-1,0,unknown
ABC137,1,-1,0,unknown
ABC138,1,-1,0,unknown
ABC139,1,-1,0,unknown
ABC140,1,-1,0,unknown
ABC141,1,-1,0,unknown
ABC142,1,-1,0,unknown
ABC143,1,-1,0,unknown
ABC144,1,-1,0,unknown
ABC145,1,-1,0,unknown
ABC146,1,-1,0,unknown
ABC147,2,-1,0,unknown
ABC148,1,-1,0,unknown
ABC149,2,-1,0,unknown
ABC150,2,-1,0,unknown
ABC151,2,-1,0,unknown
ABC152,2,-1,0,unknown
ABC153,1,-1,0,unknown
ABC154,1,-1,0,unknown
ABC155,2,-1,0,unknown
ABC156,2,-1,0,unknown
ABC157,1,-1,0,unknown
ABC158,1,-1,0,unknown
ABC159,3,-1,0,unknown
ABC160,2,-1,0,unknown
ABC161,1,-1,0,unknown
ABC162,1,-1,0,unknown
ABC163,2,-1,0,unknown
ABC164,5,-1,0,unknown
ABC165,1,-1,0,unknown
ABC166,1,-1,0,unknown
ABC167,1,-1,0,unknown
ABC168,1,-1,0,unknown
ABC169,2,-1,0,unknown
ABC170,3,-1,0,unknown
ABC171,1,-1,0,unknown
ABC172,1,-1,0,unknown
ABC173,1,-1,0,unknown
ABC174,1,-1,0,unknown
ABC175,1,-1,0,unknown
ABC176,1,-1,0,unknown
ABC177,2,-1,0,unknown
ABC178,2,-1,0,unknown
ABC179,2,-1,0,unknown
ABC180,1,-1,0,unknown
ABC181,1,-1,0,unknown
ABC182,2,-1,0,unknown
ABC183,1,-1,0,unknown
ABC184,1,-1,0,unknown
ABC185,2,-1,0,unknown
ABC186,1,-1,0,unknown
ABC187,1,-1,0,unknown
ABC188,1,-1,0,unknown
ABC189,1,-1,0,unknown
ABC190,1,-1,0,unknown
ABC191,1,-1,0,unknown
ABC192,1,-1,0,unknown
ABC193,2,-1,0,unknown
ABC194,1,-1,0,unknown
ABC195,1,-1,0,unknown
ABC196,2,-1,0,unknown
ABC197,1,-1,0,unknown
ABC198,1,-1,0,unknown
ABC199,1,-1,0,unknown
ABC200,2,-1,0,unknown
ABC201,1,-1,0,unknown
ABC202,1,-1,0,unknown
ABC203,1,-1,0,unknown
ABC204,2,-1,0,unknown
ABC205,1,-1,0,unknown
ABC206,2,-1,0,unknown
ABC207,1,-1,0,unknown
ABC208,1,-1,0,unknown
ABC209,1,-1,0,unknown
ABC210,1,-1,0,unknown
ABC211,1,-1,0,unknown
ABC212,2,-1,0,unknown
ABC213,2,-1,0,unknown
ABC214,1,-1,0,unknown
ABC215,1,-1,0,unknown
ABC216,1,-1,0,unknown
ABC217,2,-1,0,unknown
ABC218,3,-1,0,unknown
ABC219,1,-1,0,unknown
ABC220,2,-1,0,unknown
ABC221,1,-1,0,unknown
ABC222,1,-1,0,unknown
ABC223,1,-1,0,unknown
ABC224,1,-1,0,unknown
ABC225,1,-1,0,unknown
ABC226,2,-1,0,unknown
ABC227,3,-1,0,unknown
ABC228,1,-1,0,unknown
ABC229,2,-1,0,unknown
ABC230,1,-1,0,unknown
ABC231,1,-1,0,unknown
ABC232,2,-1,0,unknown
ABC233,2,-1,0,unknown
ABC234,1,-1,0,unknown
ABC235,1,-1,0,unknown
ABC236,1,-1,0,unknown
ABC237,2,-1,0,unknown
ABC238,1,-1,0,unknown
ABC239,1,-1,0,unknown
ABC240,1,-1,0,unknown
ABC241,1,-1,0,unknown
ABC242,1,-1,0,unknown
ABC243,1,-1,0,unknown
ABC244,1,-1,0,unknown
ABC245,3,-1,0,unknown
ABC246,2,-1,0,unknown
ABC247,2,-1,0,unknown
ABC248,1,-1,0,unknown
ABC249,1,-1,0,unknown
ABC250,2,-1,0,unknown
ABC251,1,-1,0,unknown
ABC252,1,-1,0,unknown
ABC253,1,-1,0,unknown
ABC254,1,-1,0,unknown
ABC255,1,-1,0,unknown
ABC256,1,-1,0,unknown
ABC257,3,-1,0,unknown
ABC258,2,-1,0,unknown
ABC259,1,-1,0,unknown
ABC260,2,-1,0,unknown
ABC261,2,-1,0,unknown
ABC262,2,-1,0,unknown
ABC263,1,-1,0,unknown
ABC264,3,-1,0,unknown
ABC265,1,-1,0,unknown
ABC266,2,-1,0,unknown
ABC267,1,-1,0,unknown
ABC268,2,-1,0,unknown
ABC269,2,-1,0,unknown
ABC270,1,-1,0,unknown
ABC271,2,-1,0,unknown
ABC272,1,-1,0,unknown
ABC273,4,-1,0,unknown
ABC274,3,-1,0,unknown
ABC275,2,-1,0,unknown
ABC276,3,-1,0,unknown
ABC277,3,-1,0,unknown
ABC278,2,-1,0,unknown
ABC279,2,-1,0,unknown
ABC280,2,-1,0,unknown
ABC281,3,-1,0,unknown
ABC282,2,-1,0,unknown
ABC283,4,-1,0,unknown
ABC284,2,-1,0,unknown
ABC285,2,-1,0,unknown
ABC286,2,-1,0,unknown
ABC287,2,-1,0,unknown
ABC288,3,-1,0,unknown
ABC289,2,-1,0,unknown
ABC290,2,-1,0,unknown
ABC291,2,-1,0,unknown
ABC292,2,-1,0,unknown
ABC293,3,-1,0,unknown
ABC294,2,-1,0,unknown
ABC295,4,-1,0,unknown
ABC296,2,-1,0,unknown
ABC297,2,-1,0,unknown
ABC298,2,-1,0,unknown
ABC299,3,-1,0,unknown
ABC300,2,-1,0,unknown
ABC301,2,-1,0,unknown
ABC302,2,-1,0,unknown
ABC303,2,-1,0,unknown
ABC304,2,-1,0,unknown
ABC305,2,-1,0,unknown
ABC306,2,-1,0,unknown
ABC307,2,-1,0,unknown
ABC308,3,-1,0,unknown
ABC309,2,-1,0,unknown
ABC310,2,-1,0,unknown
ABC311,2,-1,0,unknown
ABC312,2,-1,0,unknown
ABC313,2,-1,0,unknown
ABC314,2,-1,0,unknown
ABC315,2,-1,0,unknown
ABC316,2,-1,0,unknown
ABC317,2,-1,0,unknown
ABC318,2,-1,0,unknown
ABC319,2,-1,0,unknown
ABC320,2,-1,0,unknown
ABC321,2,-1,0,unknown
ABC322,2,-1,0,unknown
ABC323,3,-1,0,unknown
ABC324,2,-1,0,unknown
ABC325,2,-1,0,unknown
ABC326,4,-1,0,unknown
ABC327,3,-1,0,unknown
ABC328,3,-1,0,unknown
ABC329,3,-1,0,unknown
ABC330,2,-1,0,unknown
ABC331,3,-1,0,unknown
ABC332,2,-1,0,unknown
ABC333,2,-1,0,unknown
ABC334,5,-1,0,unknown
ABC335,3,-1,0,unknown
ABC336,4,-1,0,unknown
ABC337,2,-1,0,unknown
ABC338,2,-1,0,unknown
ABC339,3,-1,0,unknown
ABC340,2,-1,0,unknown
ABC341,3,-1,0,unknown
ABC342,3,-1,0,unknown
ABC343,2,-1,0,unknown
ABC344,2,-1,0,unknown
ABC345,4,-1,0,unknown
ABC346,2,-1,0,unknown
ABC347,4,-1,0,unknown
ABC348,2,-1,0,unknown
ABC349,4,-1,0,unknown
ABC350,3,-1,0,unknown
ABC351,2,-1,0,unknown
ABC352,2,-1,0,unknown
ABC353,3,-1,0,unknown
ABC354,2,-1,0,unknown
ABC355,3,-1,0,unknown
ABC356,2,-1,0,unknown
ABC357,4,-1,0,unknown
ABC358,2,-1,0,unknown
ABC359,4,-1,0,unknown
ABC360,2,-1,0,unknown
ABC361,2,-1,0,unknown
ABC362,2,-1,0,unknown
ABC363,3,-1,0,unknown
ABC364,2,-1,0,unknown
ABC365,3,-1,0,unknown
ABC366,1,-1,0,unknown
ABC367,1,-1,0,unknown
ABC368,1,-1,0,unknown
ABC369,1,-1,0,unknown
ABC370,1,-1,0,unknown
ABC371,1,-1,0,unknown
ABC372,1,-1,0,unknown
ABC373,1,-1,0,unknown
ABC374,1,-1,0,unknown
ABC375,1,-1,0,unknown
ABC376,1,-1,0,unknown
ABC377,2,-1,0,unknown
ABC378,1,-1,0,unknown
ABC379,1,-1,0,unknown
ABC380,1,-1,0,unknown
ABC381,1,-1,0,unknown
ABC382,1,-1,0,unknown
ABC383,3,-1,0,unknown
ABC384,1,-1,0,unknown
ABC385,1,-1,0,unknown
ABC386,1,-1,0,unknown
ABC387,1,-1,0,unknown
ABC388,4,-1,0,unknown
ABC389,1,-1,0,unknown
ABC390,1,-1,0,unknown
ABC391,1,-1,0,unknown
ABC392,1,-1,0,unknown
ABC393,1,-1,0,unknown
ABC394,1,-1,0,unknown
ABC395,2,-1,0,unknown
ABC396,3,-1,0,unknown
ABC397,1,-1,0,unknown
ABC398,1,-1,0,unknown
ABC399,1,-1,0,unknown
ABC400,1,-1,0,unknown
ABC401,1,-1,0,unknown
ABC402,1,-1,0,unknown
ABC403,1,-1,0,unknown
ABC404,1,-1,0,unknown
ABC405,2,-1,0,unknown
ABC406,1,-1,0,unknown
ABC407,1,-1,0,unknown
ABC408,3,-1,0,unknown
ABC409,1,-1,0,unknown
ABC410,1,-1,0,unknown
ABC411,1,-1,0,unknown
ABC412,1,-1,0,unknown
ABC413,1,-1,0,unknown
ABC414,2,-1,0,unknown
ABC415,2,-1,0,unknown
ABC416,1,-1,0,unknown
ABC417,1,-1,0,unknown
ABC418,1,-1,0,unknown
ABC419,1,-1,0,unknown
ABC420,1,-1,0,unknown
ABC421,3,-1,0,unknown
ABC422,1,-1,0,unknown
ABC423,1,-1,0,unknown
ABC424,1,-1,0,unknown
ABC425,3,-1,0,unknown
ABC426,2,-1,0,unknown
ABC427,1,-1,0,unknown
ABC428,1,-1,0,unknown
ABC429,1,-1,0,unknown
ABC430,1,-1,0,unknown
ABC431,1,-1,0,unknown
ABC432,1,-1,0,unknown
ABC433,1,-1,0,unknown
ABC434,1,-1,0,unknown
ABC435,2,-1,0,unknown
ABC436,1,-1,0,unknown
ABC437,1,-1,0,unknown
ABC438,1,-1,0,unknown
ABC439,1,-1,0,unknown
ABC440,1,-1,0,unknown
ABC441,1,-1,0,unknown
ABC442,1,-1,0,unknown
ABC443,2,-1,0,unknown
ABC444,1,-1,0,unknown
ABC445,1,-1,0,unknown
ABC446,1,-1,0,unknown
ABC447,1,-1,0,unknown
ABC448,1,-1,0,unknown
ABC449,1,-1,0,unknown
ABC450,1,-1,0,unknown
ABC451,1,-1,0,unknown
ABC452,1,-1,0,unknown
ABC453,1,-1,0,unknown
ABC454,2,-1,0,unknown
ABC455,1,-1,0,unknown
ABC456,1,-1,0,unknown
ABC457,1,-1,0,unknown
ABC458,1,-1,0,unknown
ABC459,1,-1,0,unknown
ABC460,2,-1,0,unknown
ABC461,1,-1,0,unknown
ABC462,2,-1,0,unknown
ABC463,1,-1,0,unknown
ABC464,1,-1,0,unknown
ABC465,1,-1,0,unknown
ABC466,4,-1,0,unknown
ABC467,1,-1,0,unknown
ABC468,1,-1,0,unknown
ABC469,1,-1,0,unknown
ABC470,1,-1,0,unknown
ABC471,1,-1,0,unknown
ABC472,3,-1,0,unknown
ABC473,1,-1,0,unknown
ABC474,1,-1,0,unknown
ABC475,1,-1,0,unknown
ABC476,2,-1,0,unknown
ABC477,1,-1,0,unknown
ABC478,1,-1,0,unknown
ABC479,1,-1,0,unknown
ABC480,1,-1,0,unknown
ABC481,1,-1,0,unknown
ABC482,1,-1,0,unknown
ABC483,1,-1,0,unknown
ABC484,1,-1,0,unknown
ABC485,2,-1,0,unknown
ABC486,1,-1,0,unknown
ABC487,1,-1,0,unknown
ABC488,1,-1,0,unknown
ABC489,1,-1,0,unknown
ABC490,1,-1,0,unknown
ABC491,2,-1,0,unknown
ABC492,1,-1,0,unknown
ABC493,1,-1,0,unknown
ABC494,1,-1,0,unknown
ABC495,2,-1,0,unknown
ABC496,2,-1,0,unknown
ABC497,2,-1,0,unknown
ABC498,1,-1,0,unknown
ABC499,2,-1,0,unknown
ABC500,1,-1,0,unknown
ABC501,2,-1,0,unknown
ABC502,1,-1,0,unknown
ABC503,1,-1,0,unknown
ABC504,1,-1,0,unknown
ABC505,1,-1,0,unknown
ABC506,2,-1,0,unknown
ABC507,1,-1,0,unknown
ABC508,1,-1,0,unknown
ABC509,1,-1,0,unknown
ABC510,1,-1,0,unknown
ABC511,1,-1,0,unknown
ABC512,1,-1,0,unknown
ABC513,1,-1,0,unknown
ABC514,1,-1,0,unknown
ABC515,1,-1,0,unknown
ABC516,3,-1,0,unknown
ABC517,2,-1,0,unknown
ABC518,1,-1,0,unknown
ABC519,1,-1,0,unknown
ABC520,1,-1,0,unknown
ABC521,1,-1,0,unknown
ABC522,1,-1,0,unknown
ABC523,1,-1,0,unknown
ABC524,1,-1,0,unknown
ABC525,2,-1,0,unknown
ABC526,2,-1,0,unknown
ABC527,2,-1,0,unknown
ABC528,1,-1,0,unknown
ABC529,1,-1,0,unknown
ABC530,1,-1,0,unknown
ABC531,1,-1,0,unknown
ABC532,3,-1,0,unknown
ABC533,1,-1,0,unknown
ABC534,1,-1,0,unknown
ABC535,1,-1,0,unknown
ABC536,2,-1,0,unknown
ABC537,1,-1,0,unknown
ABC538,2,-1,0,unknown
ABC539,1,-1,0,unknown
ABC540,2,-1,0,unknown
ABC541,1,-1,0,unknown
ABC542,1,-1,0,unknown
ABC543,1,-1,0,unknown
ABC544,1,-1,0,unknown
ABC545,1,-1,0,unknown
ABC546,1,-1,0,unknown
ABC547,1,-1,0,unknown
ABC548,1,-1,0,unknown
ABC549,1,-1,0,unknown
ABC550,1,-1,0,unknown
ABC551,2,-1,0,unknown
ABC552,2,-1,0,unknown
ABC553,1,-1,0,unknown
ABC554,1,-1,0,unknown
ABC555,1,-1,0,unknown
ABC556,2,-1,0,unknown
ABC557,2,-1,0,unknown
ABC558,2,-1,0,unknown
ABC559,2,-1,0,unknown
ABC560,2,-1,0,unknown
ABC561,1,-1,0,unknown
ABC562,1,-1,0,unknown
ABC563,2,-1,0,unknown
ABC564,2,-1,0,unknown
ABC565,1,-1,0,unknown
ABC566,1,-1,0,unknown
ABC567,1,-1,0,unknown
ABC568,1,-1,0,unknown
ABC569,1,-1,0,unknown
ABC570,3,-1,0,unknown
ABC571,1,-1,0,unknown
ABC572,1,-1,0,unknown
ABC573,1,-1,0,unknown
ABC574,1,-1,0,unknown
ABC575,1,-1,0,unknown
ABC576,1,-1,0,unknown
ABC577,1,-1,0,unknown
ABC578,2,-1,0,unknown
ABC579,3,-1,0,unknown
ABC580,2,-1,0,unknown
ABC581,2,-1,0,unknown
ABC582,2,-1,0,unknown
ABC583,2,-1,0,unknown
ABC584,2,-1,0,unknown
ABC585,4,-1,0,unknown
ABC586,2,-1,0,unknown
ABC587,2,-1,0,unknown
ABC588,3,-1,0,unknown
ABC589,1,-1,0,unknown
ABC590,2,-1,0,unknown
ABC591,3,-1,0,unknown
ABC592,1,-1,0,unknown
ABC593,2,-1,0,unknown
ABC594,1,-1,0,unknown
ABC595,2,-1,0,unknown
ABC596,2,-1,0,unknown
ABC597,3,-1,0,unknown
ABC598,2,-1,0,unknown
ABC599,1,-1,0,unknown
ABC600,5,-1,0,unknown
ABC601,3,-1,0,unknown
ABC602,2,-1,0,unknown
ABC603,2,-1,0,unknown
ABC604,2,-1,0,unknown
ABC605,1,-1,0,unknown
ABC606,1,-1,0,unknown
ABC607,2,-1,0,unknown
ABC608,1,-1,0,unknown
ABC609,1,-1,0,unknown
ABC610,1,-1,0,unknown
ABC611,1,-1,0,unknown
ABC612,1,-1,0,unknown
ABC613,1,-1,0,unknown
ABC614,1,-1,0,unknown
ABC615,1,-1,0,unknown
ABC616,1,-1,0,unknown
ABC617,1,-1,0,unknown
ABC618,1,-1,0,unknown
ABC619,2,-1,0,unknown
ABC620,2,-1,0,unknown
ABC621,3,-1,0,unknown
ABC622,1,-1,0,unknown
ABC623,2,-1,0,unknown
ABC624,1,-1,0,unknown
ABC625,1,-1,0,unknown
ABC626,3,-1,0,unknown
ABC627,1,-1,0,unknown
ABC628,2,-1,0,unknown
ABC629,4,-1,0,unknown
ABC630,2,-1,0,unknown
ABC631,2,-1,0,unknown
ABC632,3,-1,0,unknown
ABC633,1,-1,0,unknown
ABC634,3,-1,0,unknown
ABC635,2,-1,0,unknown
ABC636,2,-1,0,unknown
ABC637,1,-1,0,unknown
ABC638,1,-1,0,unknown
ABC639,4,-1,0,unknown
ABC640,2,-1,0,unknown
ABC641,2,-1,0,unknown
ABC642,2,-1,0,unknown
ABC643,1,-1,0,unknown
ABC644,1,-1,0,unknown
ABC645,2,-1,0,unknown
ABC646,2,-1,0,unknown
ABC647,2,-1,0,unknown
ABC648,3,-1,0,unknown
ABC649,2,-1,0,unknown
ABC650,3,-1,0,unknown
ABC651,2,-1,0,unknown
ABC652,2,-1,0,unknown
ABC653,3,-1,0,unknown
ABC654,1,-1,0,unknown
ABC655,1,-1,0,unknown
ABC656,1,-1,0,unknown
ABC657,2,-1,0,unknown
ABC658,1,-1,0,unknown
ABC659,1,-1,0,unknown
ABC660,1,-1,0,unknown
ABC661,1,-1,0,unknown
ABC662,1,-1,0,unknown
ABC663,1,-1,0,unknown
ABC664,2,-1,0,unknown
ABC665,2,-1,0,unknown
ABC666,3,-1,0,unknown
ABC667,2,-1,0,unknown
ABC668,2,-1,0,unknown
ABC669,4,-1,0,unknown
ABC670,2,-1,0,unknown
ABC671,3,-1,0,unknown
ABC672,2,-1,0,unknown
ABC673,3,-1,0,unknown
ABC674,2,-1,0,unknown
ABC675,2,-1,0,unknown
ABC676,1,-1,0,unknown
ABC677,3,-1,0,unknown
ABC678,2,-1,0,unknown
ABC679,1,-1,0,unknown
ABC680,3,-1,0,unknown
ABC681,2,-1,0,unknown
ABC682,2,-1,0,unknown
ABC683,1,-1,0,unknown
ABC684,1,-1,0,unknown
ABC685,3,-1,0,unknown
ABC686,2,-1,0,unknown
ABC687,2,-1,0,unknown
ABC688,2,-1,0,unknown
ABC689,2,-1,0,unknown
ABC690,2,-1,0,unknown
ABC691,2,-1,0,unknown
ABC692,2,-1,0,unknown
ABC693,3,-1,0,unknown
ABC694,2,-1,0,unknown
ABC695,2,-1,0,unknown
ABC696,2,-1,0,unknown
ABC697,3,-1,0,unknown
ABC698,2,-1,0,unknown
ABC699,2,-1,0,unknown
ABC700,3,-1,0,unknown
ABC701,2,-1,0,unknown
ABC702,2,-1,0,unknown
ABC703,3,-1,0,unknown
ABC704,2,-1,0,unknown
ABC705,2,-1,0,unknown
ABC706,2,-1,0,unknown
ABC707,6,-1,0,unknown
ABC708,3,-1,0,unknown
ABC709,2,-1,0,unknown
ABC710,2,-1,0,unknown
ABC711,2,-1,0,unknown
ABC712,2,-1,0,unknown
ABC713,3,-1,0,unknown
ABC714,3,-1,0,unknown
ABC715,3,-1,0,unknown
ABC716,4,-1,0,unknown
ABC717,2,-1,0,unknown
ABC718,2,-1,0,unknown
ABC719,2,-1,0,unknown
ABC720,2,-1,0,unknown
ABC721,3,-1,0,unknown
ABC722,5,-1,0,unknown
ABC723,3,-1,0,unknown
ABC724,2,-1,0,unknown
ABC725,2,-1,0,unknown
ABC726,2,-1,0,unknown
ABC727,5,-1,0,unknown
ABC728,3,-1,0,unknown
ABC729,2,-1,0,unknown
ABC730,2,-1,0,unknown
ABC731,2,-1,0,unknown
ABC732,2,-1,0,unknown
ABC733,4,-1,0,unknown
ABC734,3,-1,0,unknown
ABC735,3,-1,0,unknown
ABC736,3,-1,0,unknown
ABC737,2,-1,0,unknown
ABC738,3,-1,0,unknown
ABC739,3,-1,0,unknown
ABC740,2,-1,0,unknown
ABC741,2,-1,0,unknown
ABC742,3,-1,0,unknown
ABC743,2,-1,0,unknown
ABC744,2,-1,0,unknown
ABC745,5,-1,0,unknown
ABC746,3,-1,0,unknown
ABC747,2,-1,0,unknown
ABC748,2,-1,0,unknown
ABC749,2,-1,0,unknown
ABC750,3,-1,0,unknown
ABC751,3,-1,0,unknown
ABC752,2,-1,0,unknown
ABC753,2,-1,0,unknown
ABC754,3,-1,0,unknown
ABC755,2,-1,0,unknown
ABC756,3,-1,0,unknown
ABC757,3,-1,0,unknown
ABC758,3,-1,0,unknown
ABC759,7,-1,0,unknown
ABC760,5,-1,0,unknown
ABC761,3,-1,0,unknown
ABC762,2,-1,0,unknown
ABC763,3,-1,0,unknown
ABC764,2,-1,0,unknown
ABC765,3,-1,0,unknown
ABC766,2,-1,0,unknown
ABC767,2,-1,0,unknown
ABC768,3,-1,0,unknown
ABC769,3,-1,0,unknown
ABC770,3,-1,0,unknown
ABC771,3,-1,0,unknown
ABC772,3,-1,0,unknown
ABC773,4,-1,0,unknown
ABC774,2,-1,0,unknown
ABC775,3,-1,0,unknown
ABC776,2,-1,0,unknown
ABC777,3,-1,0,unknown
ABC778,4,-1,0,unknown
ABC779,2,-1,0,unknown
ABC780,2,-1,0,unknown
ABC781,8,-1,0,unknown
ABC782,4,-1,0,unknown
ABC783,3,-1,0,unknown
ABC784,2,-1,0,unknown
ABC785,2,-1,0,unknown
ABC786,2,-1,0,unknown
ABC787,2,-1,0,unknown
ABC788,2,-1,0,unknown
ABC789,3,-1,0,unknown
ABC790,1,-1,0,unknown
ABC791,2,-1,0,unknown
ABC792,2,-1,0,unknown
ABC793,1,-1,0,unknown
ABC794,1,-1,0,unknown
ABC795,1,-1,0,unknown
ABC796,3,-1,0,unknown
ABC797,1,-1,0,unknown
ABC798,6,-1,0,unknown
ABC799,2,-1,0,unknown
ABC800,4,-1,0,unknown
ABC801,1,-1,0,unknown
ABC802,1,-1,0,unknown
ABC803,3,-1,0,unknown
ABC804,2,-1,0,unknown
ABC805,1,-1,0,unknown
ABC806,1,-1,0,unknown
ABC807,1,-1,0,unknown
ABC808,1,-1,0,unknown
ABC809,1,-1,0,unknown
ABC810,1,-1,0,unknown
ABC811,1,-1,0,unknown
ABC812,3,-1,0,unknown
ABC813,1,-1,0,unknown
ABC814,2,-1,0,unknown
ABC815,1,-1,0,unknown
ABC816,3,-1,0,unknown
ABC817,2,-1,0,unknown
ABC818,3,-1,0,unknown
ABC819,2,-1,0,unknown
ABC820,1,-1,0,unknown
ABC821,1,-1,0,unknown
ABC822,1,-1,0,unknown
ABC823,1,-1,0,unknown
ABC824,1,-1,0,unknown
ABC825,1,-1,0,unknown
ABC826,1,-1,0,unknown
ABC827,1,-1,0,unknown
ABC828,1,-1,0,unknown
ABC829,1,-1,0,unknown
ABC830,2,-1,0,unknown
ABC831,2,-1,0,unknown
ABC832,1,-1,0,unknown
ABC833,1,-1,0,unknown
ABC834,1,-1,0,unknown
ABC835,1,-1,0,unknown
ABC836,1,-1,0,unknown
ABC837,1,-1,0,unknown
ABC838,1,-1,0,unknown
ABC839,1,-1,0,unknown
ABC840,2,-1,0,unknown
ABC841,3,-1,0,unknown
ABC842,1,-1,0,unknown
ABC843,1,-1,0,unknown
ABC844,6,-1,0,unknown
ABC845,1,-1,0,unknown
ABC846,3,-1,0,unknown
ABC847,1,-1,0,unknown
ABC848,1,-1,0,unknown
ABC849,1,-1,0,unknown
ABC850,2,-1,0,unknown
ABC851,1,-1,0,unknown
ABC852,1,-1,0,unknown
ABC853,1,-1,0,unknown
ABC854,1,-1,0,unknown
ABC855,1,-1,0,unknown
ABC856,1,-1,0,unknown
ABC857,2,-1,0,unknown
ABC858,1,-1,0,unknown
ABC859,1,-1,0,unknown
ABC860,1,-1,0,unknown
ABC861,1,-1,0,unknown
ABC862,1,-1,0,unknown
ABC863,1,-1,0,unknown
ABC864,1,-1,0,unknown
ABC865,3,-1,0,unknown
ABC866,1,-1,0,unknown
ABC867,1,-1,0,unknown
ABC868,1,-1,0,unknown
ABC869,1,-1,0,unknown
ABC870,1,-1,0,unknown
ABC871,1,-1,0,unknown
ABC872,2,-1,0,unknown
ABC873,1,-1,0,unknown
