Cust_id,age,job,marital,education,default,balance,housing,loan
ABC1173,27,blue-collar,married,tertiary,no,703,yes,no
ABC11736,26,blue-collar,married,secondary,no,-46,yes,no
ABC12356,25,blue-collar,married,primary,no,6100,yes,no
ABC12373,21,blue-collar,married,secondary,no,820,yes,no
ABC12379,25,blue-collar,married,unknown,no,373,yes,no
ABC12402,24,services,married,secondary,no,11,yes,no
ABC12407,24,management,married,secondary,no,653,yes,no
ABC12418,26,services,married,secondary,no,-72,yes,no
ABC12424,28,self-employed,married,secondary,no,-395,yes,no
ABC12439,27,blue-collar,married,primary,no,1128,yes,no
ABC1246,26,blue-collar,married,primary,no,318,yes,no
ABC12478,28,blue-collar,married,tertiary,no,415,no,no
ABC12498,22,student,married,secondary,no,280,yes,no
ABC12057,24,management,married,secondary,no,867,yes,no
ABC12522,27,services,married,secondary,no,585,no,no
ABC12606,25,management,married,tertiary,no,115,no,yes
ABC12620,24,services,married,secondary,no,-346,yes,no
ABC12622,27,services,married,secondary,no,243,no,yes
ABC12625,28,services,married,secondary,no,1143,yes,yes
ABC12634,25,unemployed,married,secondary,no,34,no,yes
ABC12637,26,blue-collar,married,secondary,no,-333,no,yes
ABC12646,26,blue-collar,married,tertiary,no,36,no,yes
ABC12656,26,blue-collar,married,secondary,no,177,no,yes
ABC12250,27,blue-collar,married,secondary,yes,-27,no,no
ABC12251,26,services,married,primary,no,-122,yes,no
ABC12658,27,management,married,secondary,no,35,no,no
ABC12662,27,blue-collar,married,secondary,no,126,yes,yes
ABC12666,25,blue-collar,married,secondary,no,192,no,no
ABC12678,28,services,married,secondary,no,-116,no,yes
ABC12277,25,blue-collar,married,primary,no,52,yes,no
ABC12735,27,services,married,secondary,no,450,yes,no
ABC12744,27,management,married,secondary,no,1609,yes,no
ABC12321,27,blue-collar,married,tertiary,no,335,yes,no
ABC12757,27,services,married,secondary,no,266,no,yes
ABC12771,28,management,married,tertiary,no,0,no,no
ABC12776,27,blue-collar,married,secondary,no,77,no,yes
ABC12793,28,self-employed,married,primary,no,332,no,no
ABC12815,25,blue-collar,married,tertiary,no,437,no,yes
ABC12823,26,blue-collar,married,secondary,no,428,no,yes
ABC12348,28,services,married,secondary,no,-7,no,yes
ABC12840,26,blue-collar,married,secondary,no,123,no,yes
ABC12358,27,blue-collar,married,primary,no,-413,no,yes
ABC12850,25,blue-collar,married,secondary,no,218,no,yes
ABC12881,27,management,married,tertiary,no,338,no,yes
ABC1289,26,student,married,secondary,no,85,yes,no
ABC12892,25,blue-collar,married,secondary,no,913,yes,no
ABC12897,25,services,married,secondary,no,111,no,yes
ABC1291,26,blue-collar,married,secondary,no,-29,yes,no
ABC12910,26,blue-collar,married,secondary,yes,-8019,no,yes
ABC12911,25,blue-collar,married,tertiary,no,226,no,no
ABC12917,28,services,married,secondary,no,1507,no,no
ABC12919,28,services,married,secondary,no,198,no,no
ABC12931,25,services,married,secondary,no,402,no,yes
ABC12939,27,services,married,secondary,no,145,no,yes
ABC12943,28,unemployed,married,secondary,yes,-1270,no,yes
ABC12953,28,blue-collar,married,secondary,no,1581,no,yes
ABC12972,27,blue-collar,married,primary,no,1659,no,yes
ABC12492,27,blue-collar,married,tertiary,no,0,no,no
ABC12496,27,blue-collar,married,secondary,no,158,no,no
ABC12981,26,blue-collar,married,secondary,no,6,no,yes
ABC12985,27,management,married,tertiary,no,1117,yes,no
ABC1300,24,blue-collar,married,tertiary,no,777,yes,no
ABC13012,28,student,married,secondary,no,305,no,no
ABC13015,25,unknown,married,secondary,no,3,no,no
ABC13016,25,blue-collar,married,secondary,no,-55,yes,yes
ABC13021,25,blue-collar,married,secondary,no,495,no,no
ABC13034,28,services,married,secondary,no,551,no,yes
ABC13041,26,blue-collar,married,secondary,no,5,no,no
ABC13051,27,management,married,tertiary,no,136,no,yes
ABC13055,28,blue-collar,married,secondary,no,476,no,no
ABC13056,28,self-employed,married,tertiary,no,226,no,yes
ABC13057,26,services,married,secondary,no,-378,no,yes
ABC13060,26,management,married,tertiary,no,122,no,yes
ABC13070,25,management,married,tertiary,no,1098,yes,yes
ABC13073,27,services,married,secondary,no,-400,no,yes
ABC13076,26,blue-collar,married,tertiary,no,291,no,yes
ABC13082,25,blue-collar,married,secondary,yes,-220,no,no
ABC13091,26,services,married,secondary,no,-35,no,yes
ABC12663,28,blue-collar,married,secondary,no,-127,yes,no
ABC13097,25,services,married,secondary,no,2,no,no
ABC13100,25,services,married,secondary,no,0,no,yes
ABC12719,25,blue-collar,married,secondary,no,506,yes,no
ABC13101,28,services,married,secondary,no,144,no,yes
ABC12729,26,services,married,secondary,no,170,no,no
ABC13103,26,management,married,tertiary,no,350,no,no
ABC13110,27,services,married,secondary,no,87,no,no
ABC13116,26,services,married,secondary,no,-90,no,yes
ABC13124,25,blue-collar,married,secondary,no,218,no,yes
ABC13125,25,management,married,secondary,no,1923,no,yes
ABC13130,25,management,married,unknown,no,314,no,yes
ABC13132,26,management,married,tertiary,no,33,no,yes
ABC13133,27,entrepreneur,married,unknown,no,1007,no,no
ABC13136,25,self-employed,married,tertiary,no,-44,no,yes
ABC12822,28,blue-collar,single,secondary,no,909,no,yes
ABC13139,27,management,married,tertiary,yes,0,no,yes
ABC13143,26,services,married,secondary,yes,74,no,no
ABC13161,26,blue-collar,married,secondary,no,68,no,yes
ABC13177,26,management,married,tertiary,no,8303,no,no
ABC13221,25,services,married,secondary,no,628,no,no
ABC13224,25,blue-collar,married,secondary,no,0,no,no
ABC13232,28,management,married,tertiary,no,882,no,yes
ABC13240,28,services,married,secondary,no,-126,no,yes
ABC13248,27,self-employed,married,tertiary,no,108,no,yes
ABC13256,28,management,married,unknown,no,81,no,yes
ABC13260,28,management,married,tertiary,no,1252,yes,yes
ABC13265,27,services,married,secondary,no,167,no,yes
ABC12900,27,services,single,secondary,no,212,no,no
ABC13266,28,services,married,secondary,no,19,no,no
ABC13283,28,blue-collar,married,secondary,no,31,no,no
ABC13301,26,blue-collar,married,secondary,no,0,no,no
ABC13310,26,blue-collar,married,secondary,no,-128,no,yes
ABC13328,27,services,married,secondary,yes,-110,no,yes
ABC13329,25,blue-collar,married,secondary,no,224,no,yes
ABC13333,27,services,married,secondary,no,-151,no,no
ABC13335,28,entrepreneur,married,tertiary,no,283,yes,no
ABC13338,26,blue-collar,married,primary,no,16,no,yes
ABC13344,27,services,married,secondary,no,13,yes,no
ABC13370,27,management,married,tertiary,no,154,no,yes
ABC1339,27,student,married,secondary,no,217,yes,no
ABC13399,28,self-employed,married,tertiary,no,25,no,no
ABC13402,28,blue-collar,married,primary,no,150,no,yes
ABC13451,27,services,married,secondary,no,387,no,yes
ABC13482,28,services,married,secondary,no,1950,no,no
ABC135,28,unemployed,married,tertiary,no,0,yes,no
ABC13501,28,self-employed,married,secondary,no,241,yes,no
ABC13536,28,blue-collar,married,secondary,no,441,no,yes
ABC13541,28,services,married,secondary,no,404,no,yes
ABC13572,25,blue-collar,married,secondary,no,959,no,no
ABC13585,25,services,married,secondary,no,281,no,yes
ABC13626,27,blue-collar,married,secondary,no,282,no,yes
ABC13628,27,blue-collar,married,primary,no,0,no,yes
ABC13685,27,blue-collar,married,secondary,no,228,no,no
ABC13689,25,management,married,tertiary,no,710,no,no
ABC13727,27,services,married,secondary,no,-266,no,yes
ABC13738,28,blue-collar,married,secondary,no,475,no,no
ABC1375,26,student,married,tertiary,no,37,yes,no
ABC13770,28,blue-collar,married,secondary,yes,0,no,yes
ABC1383,28,management,married,tertiary,no,150,yes,no
ABC13834,27,blue-collar,married,secondary,no,48,no,no
ABC13877,25,services,married,secondary,no,19,no,no
ABC13899,26,blue-collar,married,tertiary,no,170,yes,no
ABC13058,28,management,single,tertiary,no,296,no,yes
ABC13907,27,blue-collar,married,secondary,no,87,no,no
ABC1391,28,management,married,tertiary,no,21,yes,no
ABC13919,26,services,married,secondary,no,81,no,yes
ABC13936,28,blue-collar,married,secondary,no,339,yes,no
ABC13975,27,student,married,secondary,no,106,yes,no
ABC13992,26,services,married,secondary,no,235,no,no
ABC13084,27,blue-collar,single,secondary,yes,0,no,yes
ABC14006,25,student,married,tertiary,no,-113,no,no
ABC1402,26,student,married,unknown,no,-41,yes,no
ABC1403,25,blue-collar,married,secondary,no,0,yes,no
ABC14030,28,blue-collar,married,secondary,no,455,yes,no
ABC14038,27,services,married,secondary,no,70,yes,no
ABC14063,26,services,married,primary,no,528,yes,yes
ABC13105,26,self-employed,single,secondary,no,551,no,no
ABC13108,25,blue-collar,single,secondary,no,0,no,yes
ABC14066,27,entrepreneur,married,tertiary,no,6,no,no
ABC13112,25,blue-collar,married,secondary,no,101,no,yes
ABC14077,27,services,married,secondary,no,428,no,yes
ABC14174,26,self-employed,married,secondary,no,93,no,no
ABC14203,27,services,married,secondary,no,3638,no,no
ABC13126,28,services,single,unknown,no,2736,no,no
ABC14207,25,services,married,secondary,no,184,no,yes
ABC14217,25,management,married,tertiary,no,10,no,no
ABC14243,25,services,married,secondary,no,-41,no,yes
ABC14246,25,blue-collar,married,secondary,no,-375,yes,no
ABC14278,28,blue-collar,married,secondary,no,36,no,no
ABC14315,28,management,married,secondary,no,62,no,no
ABC1442,22,blue-collar,married,secondary,no,54,yes,yes
ABC13147,25,blue-collar,single,secondary,no,102,no,yes
ABC1443,26,blue-collar,married,secondary,no,-132,no,no
ABC13156,28,services,married,secondary,no,510,yes,yes
ABC14622,25,services,single,secondary,no,-352,no,no
ABC14641,27,services,single,secondary,no,1928,no,yes
ABC13165,28,blue-collar,single,secondary,no,517,no,yes
ABC14642,27,blue-collar,single,unknown,no,59,no,no
ABC14643,28,unemployed,single,secondary,no,-34,no,no
ABC13202,26,blue-collar,single,secondary,yes,81,no,yes
ABC14656,27,services,single,secondary,no,454,no,yes
ABC14662,25,blue-collar,single,secondary,no,534,no,no
ABC14754,25,blue-collar,single,secondary,no,377,no,no
ABC14778,28,services,single,secondary,no,0,no,yes
ABC14820,25,services,single,tertiary,no,130,yes,no
ABC14836,26,self-employed,single,secondary,no,166,yes,no
ABC14844,25,services,single,secondary,no,93,no,no
ABC14846,26,blue-collar,single,secondary,no,-188,no,no
ABC14860,26,blue-collar,single,primary,no,-35,no,no
ABC14878,26,services,single,secondary,no,74,no,yes
ABC14881,25,blue-collar,single,secondary,no,158,yes,yes
ABC14886,28,management,single,tertiary,no,1,yes,no
ABC14892,25,services,single,secondary,no,-213,no,yes
ABC14894,26,management,single,tertiary,no,55,no,yes
ABC13299,26,services,single,secondary,no,102,no,yes
ABC14912,26,services,single,secondary,yes,0,yes,no
ABC13303,26,blue-collar,married,secondary,no,370,no,yes
ABC14961,28,student,single,tertiary,no,61,yes,no
ABC14973,25,blue-collar,single,secondary,no,195,no,no
ABC13318,25,blue-collar,single,secondary,no,189,no,yes
ABC15023,27,services,single,secondary,no,180,no,yes
ABC15037,26,blue-collar,single,secondary,no,4146,no,no
ABC15082,25,self-employed,single,tertiary,no,453,yes,no
ABC15087,26,self-employed,single,tertiary,no,82,yes,no
ABC15090,25,student,single,secondary,no,963,yes,no
ABC1512,27,student,single,secondary,no,0,no,no
ABC15132,26,blue-collar,single,secondary,no,603,no,yes
ABC15144,27,services,single,unknown,no,5,yes,no
ABC15156,28,management,single,tertiary,no,416,yes,yes
ABC15198,27,entrepreneur,single,secondary,no,2,yes,no
ABC152,26,student,single,secondary,no,0,yes,no
ABC15224,26,student,single,tertiary,yes,47,no,yes
ABC13396,26,unemployed,single,secondary,no,111,no,no
ABC15253,27,student,single,secondary,no,24,yes,no
ABC15276,28,services,single,secondary,no,-39,no,yes
ABC1530,27,blue-collar,single,secondary,no,584,yes,no
ABC15336,27,services,single,secondary,no,-124,no,no
ABC15386,28,management,single,secondary,no,-994,yes,yes
ABC15394,27,self-employed,single,tertiary,yes,5,no,yes
ABC15419,25,management,single,tertiary,no,0,no,yes
ABC15432,26,services,single,secondary,no,0,yes,no
ABC15446,28,management,single,tertiary,no,2249,yes,yes
ABC15450,28,services,single,secondary,no,458,no,no
ABC15456,26,blue-collar,single,secondary,yes,-454,no,yes
ABC15492,26,blue-collar,single,secondary,no,341,no,no
ABC15498,27,blue-collar,single,secondary,no,1,yes,no
ABC15522,28,services,single,secondary,no,305,yes,no
ABC15531,28,blue-collar,single,secondary,no,-193,no,no
ABC15557,27,management,single,secondary,no,-403,yes,no
ABC15565,26,blue-collar,single,secondary,no,49,no,no
ABC15567,25,blue-collar,single,primary,no,15,no,no
ABC15573,26,services,single,secondary,no,3,no,yes
ABC15597,25,blue-collar,single,secondary,no,612,yes,no
ABC13639,26,blue-collar,married,secondary,no,-119,no,yes
ABC15630,25,unemployed,single,secondary,no,-230,yes,no
ABC13670,24,management,single,tertiary,no,409,no,yes
ABC15640,27,blue-collar,single,tertiary,no,1372,no,no
ABC15645,27,unemployed,single,secondary,no,0,yes,no
ABC15657,27,services,single,secondary,no,15,no,yes
ABC13691,27,unemployed,single,primary,no,9,no,yes
ABC15675,28,self-employed,single,tertiary,no,0,yes,no
ABC1371,28,services,divorced,secondary,no,785,yes,no
ABC15676,25,services,single,secondary,no,64,no,no
ABC15686,27,services,single,secondary,no,-34,no,yes
ABC13732,26,blue-collar,single,secondary,no,-29,yes,no
ABC15689,27,management,single,tertiary,no,831,yes,no
ABC15692,27,self-employed,single,tertiary,no,202,yes,no
ABC15722,25,blue-collar,single,secondary,no,2157,yes,no
ABC15725,26,services,single,tertiary,no,1100,yes,no
ABC15731,25,unemployed,single,tertiary,no,2783,no,no
ABC15751,28,self-employed,single,tertiary,no,222,no,yes
ABC15753,26,management,single,secondary,no,609,yes,no
ABC15767,26,blue-collar,single,secondary,no,188,yes,yes
ABC13893,28,services,single,secondary,no,-170,no,yes
ABC15778,26,self-employed,single,primary,yes,-1006,yes,yes
ABC15781,26,entrepreneur,single,tertiary,no,81,no,no
ABC15792,25,services,single,secondary,no,105,no,yes
ABC15809,28,services,single,secondary,no,579,yes,no
ABC13914,25,blue-collar,single,secondary,no,1243,no,yes
ABC15836,26,blue-collar,single,secondary,no,-213,no,yes
ABC15847,25,services,single,secondary,no,289,yes,no
ABC1587,26,management,single,tertiary,no,498,yes,no
ABC15887,25,services,single,secondary,no,79,no,yes
ABC13945,25,blue-collar,single,primary,no,2483,no,no
ABC15916,27,blue-collar,single,secondary,no,28,no,no
ABC13987,26,management,single,tertiary,no,45,no,no
ABC15941,25,blue-collar,single,secondary,no,0,yes,no
ABC15957,26,services,single,secondary,no,47,yes,no
ABC15971,28,blue-collar,single,secondary,no,0,no,yes
ABC16009,27,management,single,tertiary,no,3,yes,yes
ABC16012,26,blue-collar,single,secondary,no,7,yes,no
ABC16028,28,blue-collar,single,secondary,no,1285,no,no
ABC16033,25,services,single,secondary,no,18,yes,no
ABC16052,26,blue-collar,single,secondary,no,1842,yes,yes
ABC16073,27,services,single,tertiary,no,9965,yes,no
ABC16074,28,management,single,tertiary,no,187,yes,no
ABC16077,27,blue-collar,single,secondary,no,-247,no,yes
ABC16082,28,services,single,secondary,no,47,no,no
ABC16085,26,student,single,secondary,no,141,no,no
ABC16087,27,blue-collar,single,secondary,no,285,no,no
ABC16095,26,blue-collar,single,secondary,no,-525,yes,yes
ABC14119,25,services,single,primary,no,167,no,yes
ABC14161,26,management,single,unknown,no,1534,yes,no
ABC16096,27,services,single,secondary,yes,-1,no,no
ABC16104,26,services,single,secondary,no,321,yes,no
ABC16132,26,services,single,secondary,yes,0,no,yes
ABC16138,28,blue-collar,single,tertiary,no,968,no,yes
ABC16156,26,management,single,secondary,no,-38,no,no
ABC16159,26,services,single,tertiary,no,238,yes,no
ABC16166,27,blue-collar,single,secondary,no,113,no,no
ABC16170,26,management,single,tertiary,no,97,yes,no
ABC16182,26,blue-collar,single,secondary,no,1,yes,no
ABC1619,28,blue-collar,single,secondary,no,-9,yes,yes
ABC16199,27,blue-collar,single,secondary,no,148,no,no
ABC16202,28,services,single,tertiary,no,2474,yes,no
ABC16210,26,services,single,secondary,no,209,yes,no
ABC16216,25,blue-collar,single,secondary,no,0,yes,no
ABC16217,28,management,single,tertiary,no,466,yes,no
ABC16264,26,management,single,tertiary,no,3,yes,no
ABC16278,28,services,single,tertiary,no,2938,yes,no
ABC16280,28,services,single,tertiary,no,1773,yes,no
ABC16290,26,management,single,tertiary,no,14004,yes,no
ABC16312,25,blue-collar,single,tertiary,no,148,no,no
ABC16313,26,blue-collar,single,tertiary,no,14054,no,no
ABC16314,28,management,single,tertiary,no,-56,no,yes
ABC16317,27,blue-collar,single,secondary,no,487,yes,no
ABC16323,28,blue-collar,single,secondary,no,-337,no,yes
ABC16332,27,blue-collar,single,primary,no,0,yes,no
ABC14563,25,services,single,secondary,no,333,no,yes
ABC16345,26,services,single,secondary,no,8,no,no
ABC16349,28,student,single,tertiary,no,270,no,no
ABC16352,27,self-employed,single,tertiary,no,82,no,yes
ABC16355,28,services,single,secondary,no,525,no,no
ABC16356,28,blue-collar,single,secondary,no,371,yes,no
ABC16369,25,management,single,tertiary,no,323,no,yes
ABC16371,25,blue-collar,single,secondary,no,-2,no,yes
ABC16372,28,blue-collar,single,secondary,no,-403,no,yes
ABC16378,25,services,single,secondary,no,99,no,yes
ABC16382,26,management,single,tertiary,no,33,no,no
ABC14729,25,blue-collar,married,secondary,no,0,no,yes
ABC14744,27,entrepreneur,married,tertiary,no,139,no,no
ABC16389,28,services,single,secondary,no,651,no,yes
ABC14761,28,management,single,tertiary,no,0,yes,no
ABC1639,27,services,single,unknown,no,230,yes,no
ABC16400,26,services,single,secondary,no,127,yes,yes
ABC14818,27,management,single,tertiary,no,151,yes,no
ABC1641,28,services,single,tertiary,no,422,yes,no
ABC14821,26,blue-collar,single,secondary,no,354,no,no
ABC16410,26,blue-collar,single,secondary,no,658,no,yes
ABC16437,26,blue-collar,single,secondary,no,33,no,no
ABC16451,28,services,single,secondary,no,-221,no,yes
ABC16460,28,blue-collar,single,secondary,no,390,no,yes
ABC16499,26,management,single,tertiary,no,2356,yes,no
ABC16508,26,blue-collar,single,secondary,no,5829,no,no
ABC16511,28,services,single,secondary,yes,-7,no,yes
ABC16520,28,self-employed,single,secondary,no,3761,no,yes
ABC16530,27,self-employed,single,tertiary,no,1,yes,no
ABC16534,26,blue-collar,single,secondary,no,831,no,yes
ABC16563,27,services,single,tertiary,no,1501,yes,no
ABC16567,25,management,single,tertiary,no,137,yes,no
ABC14890,27,services,divorced,secondary,no,451,yes,no
ABC1658,26,blue-collar,single,secondary,no,100,yes,no
ABC16586,24,unemployed,single,tertiary,yes,-164,yes,yes
ABC14909,27,services,single,secondary,no,-36,no,no
ABC166,26,services,single,secondary,no,82,yes,no
ABC16614,25,blue-collar,single,secondary,no,945,yes,no
ABC14959,27,student,married,secondary,no,119,yes,no
ABC16652,28,management,single,tertiary,no,1,no,no
ABC16667,26,entrepreneur,single,secondary,no,87,yes,no
ABC16694,28,blue-collar,single,secondary,no,1241,no,no
ABC15018,26,blue-collar,married,secondary,no,-11,yes,yes
ABC16703,28,blue-collar,single,secondary,no,981,yes,no
ABC16716,26,blue-collar,single,secondary,no,1292,yes,no
ABC16761,25,blue-collar,single,secondary,no,674,no,no
ABC16783,26,blue-collar,single,secondary,no,3382,no,no
ABC16807,27,blue-collar,single,secondary,no,471,yes,yes
ABC16839,25,management,single,secondary,no,1272,yes,no
ABC16859,27,blue-collar,single,secondary,no,2074,no,yes
ABC1687,25,services,single,secondary,no,131,yes,yes
ABC16880,25,services,single,secondary,no,156,yes,yes
ABC16885,28,blue-collar,single,secondary,no,799,yes,no
ABC16887,27,blue-collar,single,secondary,no,137,no,yes
ABC16900,27,services,single,primary,no,140,yes,yes
ABC15118,26,services,single,secondary,no,-189,no,yes
ABC16911,27,blue-collar,single,secondary,no,41,yes,yes
ABC16912,27,blue-collar,single,secondary,no,3485,no,yes
ABC16913,25,services,single,secondary,no,368,no,no
ABC1693,27,services,single,secondary,no,777,yes,no
ABC15150,27,services,single,secondary,no,1820,yes,no
ABC16937,28,management,single,tertiary,no,1466,yes,no
ABC16938,27,student,single,tertiary,no,1,no,no
ABC15193,25,blue-collar,single,tertiary,no,178,no,no
ABC16990,27,services,single,secondary,no,139,no,no
ABC16998,25,services,single,secondary,no,0,no,yes
ABC17005,25,blue-collar,single,secondary,no,1036,yes,no
ABC1702,26,blue-collar,single,secondary,no,153,yes,no
ABC17027,28,management,single,tertiary,no,231,yes,yes
ABC15239,27,services,married,secondary,no,0,yes,no
ABC17030,26,services,single,secondary,no,0,no,no
ABC17035,27,blue-collar,single,secondary,no,1359,no,yes
ABC17037,27,services,single,secondary,no,0,no,yes
ABC1704,26,services,single,secondary,no,187,yes,no
ABC1707,26,blue-collar,single,secondary,no,-116,yes,yes
ABC17089,28,management,single,secondary,no,265,yes,no
ABC15312,26,management,single,tertiary,no,502,no,yes
ABC17098,27,blue-collar,single,secondary,no,15,yes,no
ABC17115,28,services,single,secondary,no,230,no,no
ABC17130,28,services,single,secondary,no,649,yes,no
ABC17135,27,blue-collar,single,secondary,no,-646,yes,no
ABC1718,28,services,single,secondary,no,2831,yes,no
ABC15359,27,services,single,secondary,yes,-366,yes,no
ABC17184,25,blue-collar,single,secondary,no,616,no,yes
ABC1719,22,student,single,secondary,no,2412,yes,no
ABC17192,25,management,single,tertiary,no,155,yes,no
ABC17196,25,student,single,tertiary,no,-380,no,no
ABC17200,28,services,single,secondary,no,1136,no,no
ABC17204,27,management,single,tertiary,no,72,yes,no
ABC17239,28,blue-collar,single,secondary,no,181,yes,no
ABC15414,28,services,single,secondary,no,622,no,no
ABC1724,28,management,single,tertiary,no,3285,yes,no
ABC17248,28,management,single,tertiary,no,111,yes,yes
ABC17256,26,blue-collar,single,secondary,no,37,no,yes
ABC17260,26,blue-collar,single,primary,no,1538,no,yes
ABC15444,28,services,single,unknown,no,24,yes,no
ABC17264,25,services,single,secondary,no,5533,yes,no
ABC17289,26,services,single,secondary,no,81,yes,no
ABC17290,26,blue-collar,single,secondary,no,0,no,no
ABC15465,24,blue-collar,single,tertiary,no,1393,yes,no
ABC17318,28,services,single,tertiary,no,1104,yes,no
ABC17329,28,blue-collar,single,secondary,no,-97,no,no
ABC17334,27,blue-collar,single,secondary,no,103,no,yes
ABC1734,26,services,single,secondary,no,302,yes,no
ABC17372,27,blue-collar,single,secondary,no,3305,no,yes
ABC15511,28,blue-collar,married,secondary,no,173,no,no
ABC17399,26,services,single,secondary,no,1163,no,yes
ABC15527,25,entrepreneur,single,tertiary,no,145,yes,no
ABC17405,26,services,single,primary,no,179,yes,yes
ABC17439,26,management,single,secondary,no,63,no,no
ABC17442,26,blue-collar,single,secondary,yes,-685,yes,yes
ABC17448,26,blue-collar,single,secondary,no,18,yes,no
ABC1745,27,management,single,tertiary,no,118,yes,no
ABC17450,26,unemployed,single,tertiary,no,102,no,no
ABC17453,26,services,single,secondary,no,1690,no,yes
ABC1746,22,services,single,secondary,no,-1,yes,no
ABC17469,25,blue-collar,single,secondary,no,76,no,yes
ABC15579,26,management,single,tertiary,no,2551,yes,no
ABC17484,25,blue-collar,single,secondary,no,218,yes,yes
ABC17486,27,blue-collar,single,primary,no,1,yes,no
ABC15598,25,services,single,secondary,no,2311,no,yes
ABC1749,25,services,single,secondary,no,787,yes,no
ABC1750,27,self-employed,single,secondary,no,78,yes,no
ABC17501,27,management,single,secondary,no,0,yes,yes
ABC1751,28,blue-collar,single,tertiary,no,2269,yes,no
ABC17524,26,blue-collar,single,primary,yes,344,no,yes
ABC17538,28,management,single,secondary,no,-513,no,yes
ABC1755,27,services,single,secondary,no,4,yes,yes
ABC17550,28,management,single,secondary,no,1154,no,no
ABC1758,23,student,single,secondary,no,318,yes,no
ABC17595,26,blue-collar,single,secondary,no,84,yes,no
ABC17639,26,blue-collar,single,secondary,no,-84,yes,yes
ABC17644,26,blue-collar,single,secondary,no,114,no,yes
ABC17694,25,services,single,unknown,no,342,no,no
ABC17703,27,services,single,secondary,no,-242,no,yes
ABC17709,27,blue-collar,single,secondary,no,36,no,yes
ABC1771,28,services,single,secondary,no,229,yes,no
ABC17711,25,services,single,secondary,no,88,yes,no
ABC17766,28,self-employed,single,primary,no,0,no,yes
ABC1779,27,services,single,secondary,no,662,yes,no
ABC17817,26,services,single,secondary,no,0,no,no
ABC17857,25,blue-collar,single,secondary,no,35,yes,no
ABC17863,25,services,single,secondary,no,5,no,yes
ABC17870,26,blue-collar,single,secondary,no,0,no,yes
ABC17876,27,blue-collar,single,secondary,no,151,no,no
ABC17880,27,blue-collar,single,primary,no,-71,no,yes
ABC17881,28,blue-collar,single,primary,no,1199,yes,no
ABC17887,26,services,single,secondary,yes,-42,no,yes
ABC15795,25,student,married,tertiary,no,10,yes,no
ABC1797,28,services,single,secondary,no,234,no,no
